,W_ac
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,15.572627170891774
30,39.512824170452035
31,70.56944418143313
32,107.51778937987518
33,149.33590980338218
34,195.81954088406678
35,246.9705266795728
36,302.7907112517494
37,362.9192113728477
38,425.53075487758923
39,488.4305711719095
40,549.4238896510208
41,604.1405703970112
42,639.4191257540856
43,639.8775319476673
44,590.1337651148707
45,484.1477233622855
46,353.6717463655913
47,240.01367685943825
48,184.4813580837568
49,214.88496759900428
50,304.3741782024947
51,412.2640036022673
52,497.8694565575746
53,530.2958214500047
54,518.3360862215778
55,480.8385845554669
56,436.6516510107132
57,400.37407314991947
58,369.36015761187036
59,336.5906280357291
60,295.0462075853354
61,240.27453979974803
62,178.25043091705564
63,117.59596547785623
64,66.9332283762543
65,32.775714653474765
66,13.062748542820286
67,3.5545812813929967
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,4.107480510587919
123,5.790762325150052
124,6.024524888984925
125,4.960098394550329
126,7.083065555286678
127,17.99763763011006
128,43.30802717515279
129,85.47908650756428
130,133.99843955148793
131,175.00097164028668
132,194.6215638351362
133,183.7388475669137
134,152.8609418190711
135,117.57256333381395
136,93.45843594053548
137,93.17930683788755
138,117.2841598174654
139,163.1864035874455
140,228.29944207331118
141,307.7674277678569
142,387.3251018713671
143,450.2687306238289
144,479.89457621200677
145,465.31007968054246
146,419.74341141277944
147,362.68011837873786
148,313.6057588551552
149,286.9502990842293
150,276.13764638201735
151,269.13673722745665
152,253.91649740908497
153,221.71058103613038
154,177.331585598158
155,129.121987548695
156,85.42427082755665
157,52.85190025480709
158,30.81945780636834
159,16.868235902555533
160,8.539522673117505
161,3.6430755922996574
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,4.103298678397165
218,13.775096839187267
219,32.34105380806375
220,63.17368808282063
221,107.4610429003704
222,157.14512510634881
223,201.72209735821994
224,230.68810685332588
225,236.54908422249488
226,224.5633105676847
227,203.36589635653272
228,181.59197456441836
229,166.60817752959804
230,160.40101443583296
231,163.53087219884225
232,176.55812772045343
233,199.91486828283578
234,233.4885034740148
235,277.0219156175109
236,330.257985968728
237,391.638378487826
238,454.0745110675297
239,509.0088743873449
240,547.8839477110353
241,564.4719799382505
242,562.4570575244546
243,548.1587219245507
244,527.8965361123622
245,506.46388506550625
246,482.15445902229555
247,451.53197262365336
248,411.1601256817652
249,359.0517368883527
250,299.39748939338693
251,238.03407062344792
252,180.79818280451926
253,132.4756320312569
254,93.36744842024719
255,62.57853071005034
256,39.21376636717746
257,22.347750254926595
258,10.925668329776533
259,3.8581565664926734
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,5.889702665720442
314,17.693112532057427
315,37.723955899378126
316,68.40129143896552
317,110.99527620070825
318,161.7916879642521
319,215.72493278553293
320,267.72939200873975
321,313.82511775545777
322,354.7470699647961
323,392.5098317442996
324,429.12801047690107
325,466.0193923560775
326,502.00718919509984
327,535.2097247865827
328,563.7453090569772
329,586.2078129644696
330,603.2606530692367
331,616.1300718574042
332,626.0423232903905
333,633.9033901411735
334,639.2240647985765
335,641.135319824752
336,638.76811975903
337,631.2698449090684
338,617.8594608572043
339,597.7754411921296
340,570.2562599292434
341,535.2712491883198
342,495.9801212936998
343,456.41290391918227
344,420.599644443902
345,391.08650628548065
346,363.93545550881106
347,333.43779724052024
348,293.88479512625014
349,241.64875899575046
350,182.20500672838475
351,123.51719242832726
352,73.54903049083165
353,38.5137307737052
354,16.959481422239044
355,5.337064853749045
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,4.745151461793741
410,13.300875650806642
411,26.345115790052326
412,44.67214823879969
413,69.19205484244152
414,101.32989156559495
415,142.65380948519885
416,194.7319653410415
417,257.72361049796535
418,325.51629579200414
419,390.2530793810815
420,444.0769484264277
421,481.1820344737313
422,504.90248505514165
423,521.117373962972
424,535.7058814732529
425,553.2167472974548
426,572.2640837656635
427,589.807886757712
428,602.8080810165022
429,609.079777272095
430,610.2567008532499
431,609.0380018785236
432,608.1228775487123
433,608.8890551594867
434,606.8074952319223
435,595.6994350048934
436,569.3860368249933
437,524.2608704765013
438,468.2276195087698
439,412.4079610594206
440,367.9237223006144
