,W_ac,,
0,0,3034.903081,1575821.346
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,0,,
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,0,,
28,0,,
29,15.57262717,,
30,39.51282417,,
31,70.56944418,,
32,107.5177894,,
33,149.3359098,,
34,195.8195409,,
35,246.9705267,,
36,302.7907113,,
37,362.9192114,,
38,425.5307549,,
39,488.4305712,,
40,549.4238897,,
41,604.1405704,,
42,639.4191258,,
43,639.8775319,,
44,590.1337651,,
45,484.1477234,,
46,353.6717464,,
47,240.0136769,,
48,184.4813581,,
49,214.8849676,,
50,304.3741782,,
51,412.2640036,,
52,497.8694566,,
53,530.2958215,,
54,518.3360862,,
55,480.8385846,,
56,436.651651,,
57,400.3740731,,
58,369.3601576,,
59,336.590628,,
60,295.0462076,,
61,240.2745398,,
62,178.2504309,,
63,117.5959655,,
64,66.93322838,,
65,32.77571465,,
66,13.06274854,,
67,3.554581281,,
68,0,,
69,0,,
70,0,,
71,0,,
72,0,,
73,0,,
74,0,,
75,0,,
76,0,,
77,0,,
78,0,,
79,0,,
80,0,,
81,0,,
82,0,,
83,0,,
84,0,,
85,0,,
86,0,,
87,0,,
88,0,,
89,0,,
90,0,,
91,0,,
92,0,,
93,0,,
94,0,,
95,0,,
96,0,,
97,0,,
98,0,,
99,0,,
100,0,,
101,0,,
102,0,,
103,0,,
104,0,,
105,0,,
106,0,,
107,0,,
108,0,,
109,0,,
110,0,,
111,0,,
112,0,,
113,0,,
114,0,,
115,0,,
116,0,,
117,0,,
118,0,,
119,0,,
120,0,,
121,0,,
122,4.107480511,,
123,5.790762325,,
124,6.024524889,,
125,4.960098395,,
126,7.083065555,,
127,17.99763763,,
128,43.30802718,,
129,85.47908651,,
130,133.9984396,,
131,175.0009716,,
132,194.6215638,,
133,183.7388476,,
134,152.8609418,,
135,117.5725633,,
136,93.45843594,,
137,93.17930684,,
138,117.2841598,,
139,163.1864036,,
140,228.2994421,,
141,307.7674278,,
142,387.3251019,,
143,450.2687306,,
144,479.8945762,,
145,465.3100797,,
146,419.7434114,,
147,362.6801184,,
148,313.6057589,,
149,286.9502991,,
150,276.1376464,,
151,269.1367372,,
152,253.9164974,,
153,221.710581,,
154,177.3315856,,
155,129.1219875,,
156,85.42427083,,
157,52.85190025,,
158,30.81945781,,
159,16.8682359,,
160,8.539522673,,
161,3.643075592,,
162,0,,
163,0,,
164,0,,
165,0,,
166,0,,
167,0,,
168,0,,
169,0,,
170,0,,
171,0,,
172,0,,
173,0,,
174,0,,
175,0,,
176,0,,
177,0,,
178,0,,
179,0,,
180,0,,
181,0,,
182,0,,
183,0,,
184,0,,
185,0,,
186,0,,
187,0,,
188,0,,
189,0,,
190,0,,
191,0,,
192,0,,
193,0,,
194,0,,
195,0,,
196,0,,
197,0,,
198,0,,
199,0,,
200,0,,
201,0,,
202,0,,
203,0,,
204,0,,
205,0,,
206,0,,
207,0,,
208,0,,
209,0,,
210,0,,
211,0,,
212,0,,
213,0,,
214,0,,
215,0,,
216,0,,
217,4.103298678,,
218,13.77509684,,
219,32.34105381,,
220,63.17368808,,
221,107.4610429,,
222,157.1451251,,
223,201.7220974,,
224,230.6881069,,
225,236.5490842,,
226,224.5633106,,
227,203.3658964,,
228,181.5919746,,
229,166.6081775,,
230,160.4010144,,
231,163.5308722,,
232,176.5581277,,
233,199.9148683,,
234,233.4885035,,
235,277.0219156,,
236,330.257986,,
237,391.6383785,,
238,454.0745111,,
239,509.0088744,,
240,547.8839477,,
241,564.4719799,,
242,562.4570575,,
243,548.1587219,,
244,527.8965361,,
245,506.4638851,,
246,482.154459,,
247,451.5319726,,
248,411.1601257,,
249,359.0517369,,
250,299.3974894,,
251,238.0340706,,
252,180.7981828,,
253,132.475632,,
254,93.36744842,,
255,62.57853071,,
256,39.21376637,,
257,22.34775025,,
258,10.92566833,,
259,3.858156566,,
260,0,,
261,0,,
262,0,,
263,0,,
264,0,,
265,0,,
266,0,,
267,0,,
268,0,,
269,0,,
270,0,,
271,0,,
272,0,,
273,0,,
274,0,,
275,0,,
276,0,,
277,0,,
278,0,,
279,0,,
280,0,,
281,0,,
282,0,,
283,0,,
284,0,,
285,0,,
286,0,,
287,0,,
288,0,,
289,0,,
290,0,,
291,0,,
292,0,,
293,0,,
294,0,,
295,0,,
296,0,,
297,0,,
298,0,,
299,0,,
300,0,,
301,0,,
302,0,,
303,0,,
304,0,,
305,0,,
306,0,,
307,0,,
308,0,,
309,0,,
310,0,,
311,0,,
312,0,,
313,5.889702666,,
314,17.69311253,,
315,37.7239559,,
316,68.40129144,,
317,110.9952762,,
318,161.791688,,
319,215.7249328,,
320,267.729392,,
321,313.8251178,,
322,354.74707,,
323,392.5098317,,
324,429.1280105,,
325,466.0193924,,
326,502.0071892,,
327,535.2097248,,
328,563.7453091,,
329,586.207813,,
330,603.2606531,,
331,616.1300719,,
332,626.0423233,,
333,633.9033901,,
334,639.2240648,,
335,641.1353198,,
336,638.7681198,,
337,631.2698449,,
338,617.8594609,,
339,597.7754412,,
340,570.2562599,,
341,535.2712492,,
342,495.9801213,,
343,456.4129039,,
344,420.5996444,,
345,391.0865063,,
346,363.9354555,,
347,333.4377972,,
348,293.8847951,,
349,241.648759,,
350,182.2050067,,
351,123.5171924,,
352,73.54903049,,
353,38.51373077,,
354,16.95948142,,
355,5.337064854,,
356,0,,
357,0,,
358,0,,
359,0,,
360,0,,
361,0,,
362,0,,
363,0,,
364,0,,
365,0,,
366,0,,
367,0,,
368,0,,
369,0,,
370,0,,
371,0,,
372,0,,
373,0,,
374,0,,
375,0,,
376,0,,
377,0,,
378,0,,
379,0,,
380,0,,
381,0,,
382,0,,
383,0,,
384,0,,
385,0,,
386,0,,
387,0,,
388,0,,
389,0,,
390,0,,
391,0,,
392,0,,
393,0,,
394,0,,
395,0,,
396,0,,
397,0,,
398,0,,
399,0,,
400,0,,
401,0,,
402,0,,
403,0,,
404,0,,
405,0,,
406,0,,
407,0,,
408,0,,
409,4.745151462,,
410,13.30087565,,
411,26.34511579,,
412,44.67214824,,
413,69.19205484,,
414,101.3298916,,
415,142.6538095,,
416,194.7319653,,
417,257.7236105,,
418,325.5162958,,
419,390.2530794,,
420,444.0769484,,
421,481.1820345,,
422,504.9024851,,
423,521.117374,,
424,535.7058815,,
425,553.2167473,,
426,572.2640838,,
427,589.8078868,,
428,602.808081,,
429,609.0797773,,
430,610.2567009,,
431,609.0380019,,
432,608.1228775,,
433,608.8890552,,
434,606.8074952,,
435,595.699435,,
436,569.3860368,,
437,524.2608705,,
438,468.2276195,,
439,412.4079611,,
440,367.9237223,,
441,342.5208819,,
442,328.8247799,,
443,315.2290068,,
444,290.1269506,,
445,245.21388,,
446,186.9896376,,
447,126.1015999,,
448,73.19734724,,
449,36.7179373,,
450,15.2008919,,
451,4.40639653,,
452,0,,
453,0,,
454,0,,
455,0,,
456,0,,
457,0,,
458,0,,
459,0,,
460,0,,
461,0,,
462,0,,
463,0,,
464,0,,
465,0,,
466,0,,
467,0,,
468,0,,
469,0,,
470,0,,
471,0,,
472,0,,
473,0,,
474,0,,
475,0,,
476,0,,
477,0,,
478,0,,
479,0,,
480,0,,
481,0,,
482,0,,
483,0,,
484,0,,
485,0,,
486,0,,
487,0,,
488,0,,
489,0,,
490,0,,
491,0,,
492,0,,
493,0,,
494,0,,
495,0,,
496,0,,
497,0,,
498,0,,
499,0,,
500,0,,
501,0,,
502,0,,
503,0,,
504,0,,
505,4.20194914,,
506,13.56574525,,
507,30.69862016,,
508,58.3268824,,
509,98.13050226,,
510,147.0200126,,
511,200.5477463,,
512,254.2659376,,
513,304.1916454,,
514,348.4628854,,
515,385.8222789,,
516,415.0124918,,
517,435.7298715,,
518,452.026825,,
519,469.1987777,,
520,492.5412494,,
521,525.4714239,,
522,562.8181012,,
523,596.9568478,,
524,620.2630404,,
525,626.705989,,
526,617.5505236,,
527,596.1475351,,
528,565.8480799,,
529,529.968207,,
