"PVWatts: Hourly PV Performance Data"
"Requested Location:","thousand oaks california"
"Location:","CAMARILLO (AWOS), CA"
"Lat (deg N):","34.22"
"Long (deg W):","119.08"
"Elev (m):","23"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.118"
"Capacity Factor (%)","18.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","13","1.5","0","13","0","0"
"1","1","1","0","0","13","1.5","0","13","0","0"
"1","1","2","0","0","13","2.1","0","13","0","0"
"1","1","3","0","0","12.6","1.8","0","12.6","0","0"
"1","1","4","0","0","12","1.5","0","12","0","0"
"1","1","5","0","0","12","2.6","0","12","0","0"
"1","1","6","0","0","12","3.1","0","12","0","0"
"1","1","7","0","5","12","2.6","4.717","10.232","4.334","0"
"1","1","8","64","95","13","1.5","129.857","14.709","115.043","107.626"
"1","1","9","269","172","13","2","365.486","21.478","315.599","302.97"
"1","1","10","706","138","15","2.5","691.231","31.663","571.062","549.627"
"1","1","11","658","185","16","3.1","746.33","33.61","612.942","589.832"
"1","1","12","30","191","17","3.6","222.7","22.239","193.714","184.43"
"1","1","13","513","200","16","4.1","615.599","28.324","517.529","498.14"
"1","1","14","664","109","16","3.1","547.881","28.877","453.537","436.454"
"1","1","15","552","100","15","3.6","372.894","23.177","307.179","294.798"
"1","1","16","270","15","14","2.1","97.463","15.977","73.218","66.699"
"1","1","17","0","0","13","2.3","0","13","0","0"
"1","1","18","0","0","12","2.4","0","12","0","0"
"1","1","19","0","0","13","2.6","0","13","0","0"
"1","1","20","0","0","12","2.5","0","12","0","0"
"1","1","21","0","0","11","2.5","0","11","0","0"
"1","1","22","0","0","11.5","2.4","0","11.5","0","0"
"1","1","23","0","0","12","2.3","0","12","0","0"
"1","2","0","0","0","12","2.2","0","12","0","0"
"1","2","1","0","0","12","2.2","0","12","0","0"
"1","2","2","0","0","12","2.1","0","12","0","0"
"1","2","3","0","0","12","2.6","0","12","0","0"
"1","2","4","0","0","12","2.1","0","12","0","0"
"1","2","5","0","0","11.3","1.9","0","11.3","0","0"
"1","2","6","0","0","10.7","1.7","0","10.7","0","0"
"1","2","7","0","13","11","1.5","12.284","9.504","11.324","6.016"
"1","2","8","0","57","12","1.8","54.418","11.476","49.728","43.686"
"1","2","9","86","167","13","2.1","230.92","17.5","204.218","194.668"
"1","2","10","0","116","14","2.9","111.932","15.646","100.4","93.305"
"1","2","11","36","229","14","3.6","271.292","18.876","239.666","229.186"
"1","2","12","358","260","15","4.6","584.848","26.064","498.676","479.982"
"1","2","13","130","256","14","4.6","373.973","21.322","326.062","313.119"
"1","2","14","155","188","14","1.5","306.901","22.465","264.778","253.611"
"1","2","15","0","100","13","2.6","101.923","14.683","91.819","84.909"
"1","2","16","0","16","13","2.1","15.128","11.761","13.807","8.453"
"1","2","17","0","0","13","2.1","0","13","0","0"
"1","2","18","0","0","13","2.1","0","13","0","0"
"1","2","19","0","0","13","2.1","0","13","0","0"
"1","2","20","0","0","13","2.1","0","13","0","0"
"1","2","21","0","0","13","1.9","0","13","0","0"
"1","2","22","0","0","13","1.7","0","13","0","0"
"1","2","23","0","0","13","1.5","0","13","0","0"
"1","3","0","0","0","13","1.5","0","13","0","0"
"1","3","1","0","0","13","1.5","0","13","0","0"
"1","3","2","0","0","13","1.5","0","13","0","0"
"1","3","3","0","0","13","1.5","0","13","0","0"
"1","3","4","0","0","13","1.8","0","13","0","0"
"1","3","5","0","0","12","2.1","0","12","0","0"
"1","3","6","0","0","11","2.3","0","11","0","0"
"1","3","7","250","15","11","2.6","91.6","11.512","70.353","63.894"
"1","3","8","367","98","13","1.5","286.674","19.733","241.553","231.022"
"1","3","9","69","164","14","1.8","216.784","19.172","190.42","181.219"
"1","3","10","18","196","14","2.1","210.202","18.496","186.012","176.921"
"1","3","11","137","262","15","2.1","401.225","24.554","344.95","331.432"
"1","3","12","588","192","16","1.5","700.179","35.51","569.842","548.454"
"1","3","13","661","138","16","3.6","660.637","30.899","547.995","527.455"
"1","3","14","547","142","16","3.1","511.887","28.153","426.32","410.172"
"1","3","15","185","119","15","3.6","220.426","19.645","188.812","179.652"
"1","3","16","94","19","14","1.5","55.033","14.403","44.721","38.778"
"1","3","17","0","0","14","1.5","0","14","0","0"
"1","3","18","0","0","13","2.6","0","13","0","0"
"1","3","19","0","0","12","1.5","0","12","0","0"
"1","3","20","0","0","12","4.1","0","12","0","0"
"1","3","21","0","0","11","3.6","0","11","0","0"
"1","3","22","0","0","9","3.1","0","9","0","0"
"1","3","23","0","0","10","2.6","0","10","0","0"
"1","4","0","0","0","8","2.9","0","8","0","0"
"1","4","1","0","0","8","3.1","0","8","0","0"
"1","4","2","0","0","7","2.6","0","7","0","0"
"1","4","3","0","0","7","2.1","0","7","0","0"
"1","4","4","0","0","8","2.1","0","8","0","0"
"1","4","5","0","0","7","3.1","0","7","0","0"
"1","4","6","0","0","5","3.4","0","5","0","0"
"1","4","7","282","14","7","3.6","98.266","7.688","75.977","69.402"
"1","4","8","575","55","9","2.1","333.378","16.412","280.694","269.079"
"1","4","9","687","85","13","2.1","534.471","26.454","447.002","430.147"
"1","4","10","812","85","14","3.1","706.117","30.368","586.506","564.461"
"1","4","11","825","98","15","4.6","782.57","30.846","650.981","626.293"
"1","4","12","843","110","15","3.1","811.654","34.339","663.863","638.628"
"1","4","13","809","98","16","3.1","722.265","33.348","591.583","569.336"
"1","4","14","579","135","16","3.1","524.968","28.606","436.125","419.643"
"1","4","15","531","106","16","2.1","373.418","25.827","304.819","292.508"
"1","4","16","273","18","14","1.9","104.018","16.263","78.898","72.262"
"1","4","17","0","0","13","1.7","0","13","0","0"
"1","4","18","0","0","12","1.5","0","12","0","0"
"1","4","19","0","0","12","4.1","0","12","0","0"
"1","4","20","0","0","9","2.6","0","9","0","0"
"1","4","21","0","0","9","2.6","0","9","0","0"
"1","4","22","0","0","8","2.6","0","8","0","0"
"1","4","23","0","0","8","2.6","0","8","0","0"
"1","5","0","0","0","7","2.1","0","7","0","0"
"1","5","1","0","0","7","1.5","0","7","0","0"
"1","5","2","0","0","7","3.6","0","7","0","0"
"1","5","3","0","0","6","3.4","0","6","0","0"
"1","5","4","0","0","7","3.2","0","7","0","0"
"1","5","5","0","0","7","3","0","7","0","0"
"1","5","6","0","0","7","2.8","0","7","0","0"
"1","5","7","126","19","7","2.6","62.642","6.983","51.503","45.425"
"1","5","8","293","91","10","2.6","238.755","14.433","206.411","196.805"
"1","5","9","681","106","14","2.6","554.197","26.811","463.128","445.71"
"1","5","10","747","99","16","2.6","677.943","32.629","557.174","536.28"
