PVWatts: Hourly PV Performance Data,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,
DC System Size (kW):,10,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.118,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,
,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,
1,1,0,0,0,13,1.5,0,13,0,0,0,30.305756
1,1,1,0,0,13,1.5,0,13,0,0,0,
1,1,2,0,0,13,2.1,0,13,0,0,0,
1,1,3,0,0,12.6,1.8,0,12.6,0,0,0,
1,1,4,0,0,12,1.5,0,12,0,0,0,
1,1,5,0,0,12,2.6,0,12,0,0,0,
1,1,6,0,0,12,3.1,0,12,0,0,0,
1,1,7,0,5,12,2.6,4.717,10.232,43.344,0,0,
1,1,8,64,95,13,1.5,129.857,14.709,1150.433,1076.264,1.076264,
1,1,9,269,172,13,2,365.486,21.478,3155.991,3029.696,3.029696,
1,1,10,706,138,15,2.5,691.231,31.663,5710.615,5496.265,5.496265,
1,1,11,658,185,16,3.1,746.33,33.61,6129.416,5898.316,5.898316,
1,1,12,30,191,17,3.6,222.7,22.239,1937.137,1844.303,1.844303,
1,1,13,513,200,16,4.1,615.599,28.324,5175.29,4981.401,4.981401,
1,1,14,664,109,16,3.1,547.881,28.877,4535.366,4364.539,4.364539,
