PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,,
DC System Size (kW):,100,,,,,,,,,,Wh per day,Wh per month,Wh per year
Module Type:,Standard,,,,,,,,,,"303,058","10,871,239","157,361,651"
Array Type:,Fixed (open rack),,,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,kWh equivalent,303.058,10871.239,157361.651
Array Azimuth (deg):,180,,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.16,,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,1,0,0,0,13,1.5,0,13,0,0,0,,
1,1,1,0,0,13,1.5,0,13,0,0,0,,
1,1,2,0,0,13,2.1,0,13,0,0,0,,
1,1,3,0,0,12.6,1.8,0,12.6,0,0,0,,
1,1,4,0,0,12,1.5,0,12,0,0,0,,
1,1,5,0,0,12,2.6,0,12,0,0,0,,
1,1,6,0,0,12,3.1,0,12,0,0,0,,
1,1,7,0,5,12,2.6,4.717,10.232,433.436,0,0,,
1,1,8,64,95,13,1.5,129.857,14.709,11504.332,10762.637,0.10762637,10762.637,
1,1,9,269,172,13,2,365.486,21.478,31559.916,30296.959,0.30296959,30296.959,
1,1,10,706,138,15,2.5,691.231,31.663,57106.148,54962.652,0.54962652,54962.652,
1,1,11,658,185,16,3.1,746.33,33.61,61294.16,58983.16,0.5898316,58983.16,
1,1,12,30,191,17,3.6,222.7,22.239,19371.367,18443.029,0.18443029,18443.029,
1,1,13,513,200,16,4.1,615.599,28.324,51752.898,49814.016,0.49814016,49814.016,
1,1,14,664,109,16,3.1,547.881,28.877,45353.656,43645.391,0.43645391,43645.391,
1,1,15,552,100,15,3.6,372.894,23.177,30717.854,29479.791,0.29479791,29479.791,
1,1,16,270,15,14,2.1,97.463,15.977,7321.762,6669.929,0.06669929,6669.929,
1,1,17,0,0,13,2.3,0,13,0,0,0,0,
1,1,18,0,0,12,2.4,0,12,0,0,0,0,
1,1,19,0,0,13,2.6,0,13,0,0,0,0,
1,1,20,0,0,12,2.5,0,12,0,0,0,0,
1,1,21,0,0,11,2.5,0,11,0,0,0,0,
1,1,22,0,0,11.5,2.4,0,11.5,0,0,0,0,
1,1,23,0,0,12,2.3,0,12,0,0,0,0,
1,2,0,0,0,12,2.2,0,12,0,0,,,
1,2,1,0,0,12,2.2,0,12,0,0,,,
1,2,2,0,0,12,2.1,0,12,0,0,,,
1,2,3,0,0,12,2.6,0,12,0,0,,,
1,2,4,0,0,12,2.1,0,12,0,0,,,
1,2,5,0,0,11.3,1.9,0,11.3,0,0,,,
1,2,6,0,0,10.7,1.7,0,10.7,0,0,,,
1,2,7,0,13,11,1.5,12.284,9.504,1132.354,601.564,,,
1,2,8,0,57,12,1.8,54.418,11.476,4972.79,4368.571,,,
1,2,9,86,167,13,2.1,230.92,17.5,20421.805,19466.803,,,
1,2,10,0,116,14,2.9,111.932,15.646,10039.996,9330.502,,,
1,2,11,36,229,14,3.6,271.292,18.876,23966.566,22918.561,,,
1,2,12,358,260,15,4.6,584.848,26.064,49867.598,47998.242,,,
1,2,13,130,256,14,4.6,373.973,21.322,32606.162,31311.908,,,
1,2,14,155,188,14,1.5,306.901,22.465,26477.832,25361.109,,,
1,2,15,0,100,13,2.6,101.923,14.683,9181.886,8490.891,,,
1,2,16,0,16,13,2.1,15.128,11.761,1380.656,845.284,,,
1,2,17,0,0,13,2.1,0,13,0,0,,,
1,2,18,0,0,13,2.1,0,13,0,0,,,
1,2,19,0,0,13,2.1,0,13,0,0,,,
1,2,20,0,0,13,2.1,0,13,0,0,,,
1,2,21,0,0,13,1.9,0,13,0,0,,,
1,2,22,0,0,13,1.7,0,13,0,0,,,
1,2,23,0,0,13,1.5,0,13,0,0,,,
1,3,0,0,0,13,1.5,0,13,0,0,,,
1,3,1,0,0,13,1.5,0,13,0,0,,,
1,3,2,0,0,13,1.5,0,13,0,0,,,
1,3,3,0,0,13,1.5,0,13,0,0,,,
1,3,4,0,0,13,1.8,0,13,0,0,,,
1,3,5,0,0,12,2.1,0,12,0,0,,,
1,3,6,0,0,11,2.3,0,11,0,0,,,
1,3,7,250,15,11,2.6,91.6,11.512,7035.307,6389.39,,,
1,3,8,367,98,13,1.5,286.674,19.733,24155.252,23102.164,,,
1,3,9,69,164,14,1.8,216.784,19.172,19041.971,18121.908,,,
1,3,10,18,196,14,2.1,210.202,18.496,18601.154,17692.104,,,
1,3,11,137,262,15,2.1,401.225,24.554,34494.984,33143.199,,,
1,3,12,588,192,16,1.5,700.179,35.51,56984.164,54845.445,,,
1,3,13,661,138,16,3.6,660.637,30.899,54799.516,52745.492,,,
1,3,14,547,142,16,3.1,511.887,28.153,42632.039,41017.234,,,
1,3,15,185,119,15,3.6,220.426,19.645,18881.188,17965.15,,,
1,3,16,94,19,14,1.5,55.033,14.403,4472.093,3877.758,,,
1,3,17,0,0,14,1.5,0,14,0,0,,,
1,3,18,0,0,13,2.6,0,13,0,0,,,
1,3,19,0,0,12,1.5,0,12,0,0,,,
1,3,20,0,0,12,4.1,0,12,0,0,,,
1,3,21,0,0,11,3.6,0,11,0,0,,,
1,3,22,0,0,9,3.1,0,9,0,0,,,
1,3,23,0,0,10,2.6,0,10,0,0,,,
1,4,0,0,0,8,2.9,0,8,0,0,,,
1,4,1,0,0,8,3.1,0,8,0,0,,,
1,4,2,0,0,7,2.6,0,7,0,0,,,
1,4,3,0,0,7,2.1,0,7,0,0,,,
1,4,4,0,0,8,2.1,0,8,0,0,,,
1,4,5,0,0,7,3.1,0,7,0,0,,,
1,4,6,0,0,5,3.4,0,5,0,0,,,
1,4,7,282,14,7,3.6,98.266,7.688,7597.719,6940.157,,,
1,4,8,575,55,9,2.1,333.378,16.412,28069.396,26907.91,,,
1,4,9,687,85,13,2.1,534.471,26.454,44700.25,43014.672,,,
1,4,10,812,85,14,3.1,706.117,30.368,58650.621,56446.109,,,
1,4,11,825,98,15,4.6,782.57,30.846,65098.121,62629.324,,,
1,4,12,843,110,15,3.1,811.654,34.339,66386.281,63862.832,,,
1,4,13,809,98,16,3.1,722.265,33.348,59158.348,56933.586,,,
1,4,14,579,135,16,3.1,524.968,28.606,43612.484,41964.332,,,
1,4,15,531,106,16,2.1,373.418,25.827,30481.885,29250.752,,,
1,4,16,273,18,14,1.9,104.018,16.263,7889.844,7226.188,,,
1,4,17,0,0,13,1.7,0,13,0,0,,,
1,4,18,0,0,12,1.5,0,12,0,0,,,
1,4,19,0,0,12,4.1,0,12,0,0,,,
1,4,20,0,0,9,2.6,0,9,0,0,,,
1,4,21,0,0,9,2.6,0,9,0,0,,,
1,4,22,0,0,8,2.6,0,8,0,0,,,
1,4,23,0,0,8,2.6,0,8,0,0,,,
1,5,0,0,0,7,2.1,0,7,0,0,,,
1,5,1,0,0,7,1.5,0,7,0,0,,,
